Timestamp,Age ,Gender,Municipality in which you visit parks or squares: (circle all that apply),How often have you visited parks or squares in 2019 during the day?,"Regarding the parks or squares that you have visited in 2019, did you visit parks or squares more frequently during the day before the corona virus outbreak?",How much time do you usually spend in parks or squares since the corona virus outbreak in Serbia?,"When you are in parks or squares, what do you usually do (circle all that apply)?",When visiting parks or squares you are often (circle all that apply):,"While using parks or squares, do you behave according to social distancing regulations standing a minimum of 2.0 meters apart from other people?",Would you feel physically safe if there was monitoring of park or square usage that you could access through your phone?,Would you feelsafe regarding the corona virus if there was monitoring of park or square usage that you could access through your phone?,Would you be interested in technology that would allow you to know how many people are in a specific place you would like to go?,"If your identity was not revealed, would you want to provide your phone’s location (see question 10)?"
5/18/2020 23:19:32,15-24,Male,Palilula,"Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),No,No,Yes,No,"No, not at all"
5/18/2020 23:22:25,15-24,Female,"Palilula, Stari grad, Zvezdara","Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/18/2020 23:24:54,41-64,Male,"Stari grad, Grocka, Surčin","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Walking the dog,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
5/18/2020 23:26:23,15-24,Female,"Voždovac, Vračar, Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/18/2020 23:32:55,15-24,Female,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,Walking the dog,"Alone or with pets, With partner or friend (two adults)",Yes,No,No,Yes,"Yes, while using the app"
5/18/2020 23:33:48,15-24,Female,Vračar,"Sometimes, a couple of times per month",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,Yes,No,"No, not at all"
5/18/2020 23:38:31,25-40,Male,"Novi Beograd, Stari grad","Sometimes, a couple of times per month",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Spending time with friends",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/18/2020 23:39:30,25-40,Female,"Vračar, Novi Beograd, Stari grad","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity","Alone or with pets, With partner or friend (two adults)",No,No,No,Yes,"No, not at all"
5/18/2020 23:52:22,25-40,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,Not at all,"Spending time with friends, Physical activity",With children,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 23:55:11,15-24,Female,"Voždovac, Vračar, Novi Beograd, Stari grad","Rarely, a couple of times per year",More frequently,More than one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","Alone or with pets, With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/18/2020 23:56:14,25-40,Male,"Zemun, Barajevo","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,Sitting and relaxing,With children,Yes,No,Yes,No,"Yes, while using the app"
5/19/2020 0:00:37,25-40,Female,Vračar,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/19/2020 0:01:42,25-40,Female,"Novi Beograd, Palilula, Stari grad","Often, a couple of times per week",As frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 0:06:30,15-24,Female,"Vračar, Novi Beograd, Stari grad","Often, a couple of times per week",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With partner or friend (two adults),No,No,No,No,"Yes, while using the app"
5/19/2020 0:46:04,25-40,Female,Vračar,"Sometimes, a couple of times per month",More frequently,Up to 15 minutes,Walking the dog,"Alone or with pets, With partner or friend (two adults)",Yes,No,No,Yes,"No, not at all"
5/19/2020 0:54:13,25-40,Female,Novi Beograd,"Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Physical activity","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 6:56:57,25-40,Female,Novi Beograd,"Often, a couple of times per week",Less frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 7:14:33,25-40,Female,Novi Beograd,"Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,No,No,Yes,"No, not at all"
5/19/2020 7:41:28,25-40,Female,Zemun,"Sometimes, a couple of times per month",Not at all,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Walking the dog, Physical activity","Alone or with pets, With children, With partner or friend (two adults)",Yes,No,No,No,"No, not at all"
5/19/2020 7:41:50,25-40,Male,Novi Beograd,"Sometimes, a couple of times per month",More frequently,Not at all,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 8:06:06,25-40,Female,Zvezdara,Not at all,Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Spending time with friends",With partner or friend (two adults),No,No,No,No,"No, not at all"
5/19/2020 8:52:21,15-24,Female,"Vračar, Novi Beograd, Palilula, Savski Venac, Zemun","Always, almost every day",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","Alone or with pets, With children, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"No, not at all"
5/19/2020 8:56:59,25-40,Male,Novi Beograd,"Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a large group of friends (more than 5 people)",Yes,No,No,No,"No, not at all"
5/19/2020 9:16:00,41-64,Male,Vračar,"Sometimes, a couple of times per month",Not at all,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 9:16:59,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Not at all,Not at all,"Physical activity, Physical activity, Physical activity",With children,Yes,No,Yes,Yes,"Yes, while using the app"
5/19/2020 9:45:04,15-24,Female,"Vračar, Palilula, Stari grad","Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With a small group of friends (up to 5 persons),No,No,No,No,"No, not at all"
5/19/2020 9:50:50,15-24,Female,"Vračar, Palilula, Stari grad","Often, a couple of times per week",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,No,No,"No, not at all"
5/19/2020 9:59:03,25-40,Male,"Voždovac, Vračar, Novi Beograd, Stari grad","Rarely, a couple of times per year",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 9:59:11,25-40,Male,"Voždovac, Vračar, Novi Beograd, Stari grad","Rarely, a couple of times per year",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 9:59:21,25-40,Male,"Voždovac, Vračar, Novi Beograd, Stari grad","Rarely, a couple of times per year",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 10:02:14,25-40,Male,Voždovac,"Always, almost every day",Less frequently,From 30 minutes to one hour,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 10:04:17,25-40,Female,"Čukarica, Voždovac, Vračar, Novi Beograd, Rakovica, Savski Venac","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Physical activity","Alone or with pets, With children, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, at all time"
5/19/2020 10:04:49,25-40,Female,"Voždovac, Novi Beograd, Stari grad","Always, almost every day",More frequently,Up to 15 minutes,Walking the dog,"Alone or with pets, With children, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"No, not at all"
5/19/2020 10:10:36,25-40,Male,Novi Beograd,"Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),No,No,No,No,"No, not at all"
5/19/2020 10:30:04,15-24,Male,"Voždovac, Vračar, Palilula, Savski Venac, Stari grad","Often, a couple of times per week",Less frequently,From 15 to 30 minutes,"Sitting and relaxing, Spending time with friends, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 11:34:34,25-40,Male,"Voždovac, Vračar, Rakovica, Savski Venac, Stari grad","Often, a couple of times per week",Less frequently,More than one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With a large group of friends (more than 5 people),No,Yes,Yes,No,"No, not at all"
5/19/2020 11:34:38,15-24,Female,Palilula,"Always, almost every day",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,,,,
5/19/2020 11:39:33,25-40,Female,Rakovica,"Always, almost every day",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),Yes,No,No,No,"No, not at all"
5/19/2020 11:52:44,25-40,Male,Surčin,"Often, a couple of times per week",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With children,Yes,No,No,No,"No, not at all"
5/19/2020 11:57:16,15-24,Female,"Novi Beograd, Stari grad","Often, a couple of times per week",More frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 12:02:30,25-40,Female,"Čukarica, Vračar, Savski Venac, Stari grad, Zemun","Always, almost every day",As frequently,More than one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With children, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,Yes,No,"No, not at all"
5/19/2020 12:11:54,41-64,Female,Voždovac,"Often, a couple of times per week",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
5/19/2020 12:12:41,25-40,Female,Zvezdara,"Always, almost every day",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
5/19/2020 12:17:55,15-24,Female,"Vračar, Palilula, Savski Venac, Stari grad","Often, a couple of times per week",Not at all,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/19/2020 12:41:13,15-24,Female,Čukarica,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With a small group of friends (up to 5 persons),No,No,No,Yes,"No, not at all"
5/19/2020 12:49:14,15-24,Female,Novi Beograd,"Often, a couple of times per week",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Spending time with friends","Alone or with pets, With partner or friend (two adults)",Yes,No,No,No,"No, not at all"
5/19/2020 13:04:14,15-24,Male,"Voždovac, Vračar, Palilula, Savski Venac, Stari grad","Often, a couple of times per week",Less frequently,From 15 to 30 minutes,"Sitting and relaxing, Spending time with friends, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 13:35:08,15-24,Male,"Voždovac, Vračar, Stari grad, Zvezdara","Sometimes, a couple of times per month",As frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With a small group of friends (up to 5 persons),Yes,No,No,No,"No, not at all"
5/19/2020 15:02:36,25-40,Female,Voždovac,"Always, almost every day",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With children,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 17:29:01,15-24,Female,"Voždovac, Vračar, Novi Beograd, Palilula, Savski Venac, Stari grad, Zemun","Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"Yes, while using the app"
5/19/2020 17:35:43,25-40,Female,Čukarica,"Rarely, a couple of times per year",Less frequently,Not at all,Sitting and relaxing,With partner or friend (two adults),No,No,No,No,"No, not at all"
5/19/2020 17:54:26,25-40,Female,"Vračar, Novi Beograd, Savski Venac, Stari grad, Zemun","Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Spending time with friends","Alone or with pets, With partner or friend (two adults)",Yes,No,No,No,"No, not at all"
5/19/2020 20:09:49,41-64,Female,"Novi Beograd, Zemun","Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),No,No,No,No,"Yes, while using the app"
5/19/2020 20:13:28,41-64,Male,Novi Beograd,"Often, a couple of times per week",Not at all,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),Yes,No,No,No,"Yes, while using the app"
5/19/2020 20:41:55,15-24,Female,Čukarica,"Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 20:42:54,15-24,Female,Palilula,"Often, a couple of times per week",More frequently,Not at all,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 20:43:12,15-24,Female,Čukarica,"Always, almost every day",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
5/19/2020 20:43:44,,,"Rakovica, Stari grad, Zvezdara","Often, a couple of times per week",More frequently,Not at all,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 20:45:14,15-24,Male,"Čukarica, Voždovac, Palilula, Stari grad, Zvezdara","Often, a couple of times per week",More frequently,More than one hour,"Consumption, Consumption, Consumption, Spending time with friends, Consumption","With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",Yes,No,Yes,No,"No, not at all"
5/19/2020 20:45:40,15-24,Female,"Palilula, Lazarevac","Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 20:47:24,15-24,Male,"Palilula, Stari grad, Zvezdara, Grocka","Rarely, a couple of times per year",As frequently,Not at all,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 20:47:27,15-24,Female,"Vračar, Zvezdara","Always, almost every day",More frequently,More than one hour,"Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/19/2020 20:48:21,15-24,Female,"Savski Venac, Zemun, Zvezdara","Often, a couple of times per week",As frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"Yes, while using the app"
5/19/2020 20:49:48,15-24,Male,"Vračar, Palilula, Savski Venac, Stari grad, Zvezdara","Often, a couple of times per week",More frequently,Not at all,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/19/2020 20:55:49,15-24,Male,Zemun,"Rarely, a couple of times per year",Less frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),No,No,No,No,"No, not at all"
5/19/2020 20:57:13,15-24,Female,"Čukarica, Rakovica","Often, a couple of times per week",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 20:57:42,25-40,Male,"Čukarica, Voždovac, Palilula, Savski Venac","Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Walking the dog","Alone or with pets, With partner or friend (two adults)",Yes,No,No,Yes,"Yes, while using the app"
5/19/2020 20:58:34,15-24,Female,Novi Beograd,"Always, almost every day",As frequently,More than one hour,"Consumption, Consumption, Consumption",Alone or with pets,Yes,No,No,Yes,"No, not at all"
5/19/2020 20:58:43,25-40,Female,Voždovac,"Often, a couple of times per week",As frequently,Not at all,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 21:02:50,15-24,Female,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Physical activity","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/19/2020 21:08:33,25-40,Female,Zemun,"Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Physical activity","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/19/2020 21:08:33,15-24,Female,"Novi Beograd, Palilula, Stari grad, Zemun","Sometimes, a couple of times per month",As frequently,Not at all,"Sitting and relaxing, Consumption, Consumption, Consumption",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 21:10:49,15-24,Female,Zvezdara,"Rarely, a couple of times per year",As frequently,Up to 15 minutes,"Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
5/19/2020 21:12:32,15-24,Female,"Vračar, Stari grad, Sopot","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults)",No,No,No,Yes,"No, not at all"
5/19/2020 21:18:49,,,,,,,,,,,,,
5/19/2020 21:34:07,41-64,Male,"Vračar, Novi Beograd, Palilula, Savski Venac, Zemun, Obrenovac, Mladenovac, Surčin","Always, almost every day",Less frequently,From 30 minutes to one hour,"Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 21:43:39,15-24,Female,"Vračar, Savski Venac, Stari grad, Zvezdara","Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),Yes,No,No,Yes,"No, not at all"
5/19/2020 22:09:19,25-40,Male,Stari grad,"Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Sitting and relaxing, Spending time with friends, Physical activity","With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",Yes,No,No,No,"No, not at all"
5/19/2020 22:10:26,41-64,Female,"Vračar, Palilula","Often, a couple of times per week",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,No,No,"No, not at all"
5/19/2020 22:28:08,41-64,Female,Palilula,"Always, almost every day",As frequently,From 30 minutes to one hour,Walking the dog,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/19/2020 22:53:08,41-64,Female,Zemun,"Rarely, a couple of times per year",More frequently,Not at all,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/19/2020 23:28:04,25-40,Male,Stari grad,"Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),No,No,No,No,"No, not at all"
5/19/2020 23:31:29,15-24,Female,Rakovica,"Always, almost every day",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/20/2020 1:21:35,15-24,Female,"Voždovac, Zvezdara","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Sitting and relaxing, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"Yes, while using the app"
5/20/2020 1:35:03,15-24,Female,"Voždovac, Grocka","Often, a couple of times per week",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),No,Yes,No,No,"No, not at all"
5/20/2020 2:17:51,15-24,Female,Novi Beograd,"Always, almost every day",As frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",Yes,No,No,Yes,"No, not at all"
5/20/2020 9:56:53,15-24,Female,"Vračar, Novi Beograd, Stari grad, Zemun","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
5/20/2020 10:09:03,41-64,Female,Stari grad,"Always, almost every day",More frequently,More than one hour,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,No,"No, not at all"
5/20/2020 13:47:32,15-24,Male,Palilula,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/20/2020 14:55:45,15-24,Male,Rakovica,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,Sitting and relaxing,"Alone or with pets, With a small group of friends (up to 5 persons)",Yes,No,No,Yes,"No, not at all"
5/20/2020 14:58:38,15-24,Male,"Vračar, Stari grad","Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",Yes,Yes,Yes,Yes,"Yes, at all time"
5/20/2020 15:33:21,25-40,Male,Voždovac,Not at all,Not at all,Not at all,"Consumption, Consumption, Consumption",Alone or with pets,No,No,No,No,"No, not at all"
5/20/2020 15:41:47,15-24,Female,Palilula,"Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Consumption, Consumption, Consumption",Alone or with pets,Yes,Yes,Yes,Yes,Yes
5/20/2020 16:52:41,,,"Čukarica, Novi Beograd, Palilula, Stari grad, Zemun, Zvezdara","Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults)",Yes,No,Yes,No,"No, not at all"
5/20/2020 18:41:02,7-14,,Mladenovac,"Always, almost every day",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog, Physical activity","With children, With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"Yes, while using the app"
5/20/2020 19:17:59,15-24,Female,"Vračar, Savski Venac, Stari grad, Zvezdara","Sometimes, a couple of times per month",,From 15 to 30 minutes,"Consumption, Consumption, Consumption","With children, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/20/2020 20:10:19,15-24,Female,Čukarica,"Sometimes, a couple of times per month",Not at all,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With partner or friend (two adults),No,No,Yes,Yes,"Yes, while using the app"
5/20/2020 20:12:22,15-24,Female,"Vračar, Stari grad","Sometimes, a couple of times per month",More frequently,Not at all,"Sitting and relaxing, Consumption, Consumption, Consumption","Alone or with pets, With a small group of friends (up to 5 persons)",Yes,No,No,Yes,"Yes, while using the app"
5/20/2020 22:01:26,15-24,Female,Novi Beograd,"Often, a couple of times per week",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",Alone or with pets,Yes,No,No,No,"No, not at all"
5/20/2020 23:49:05,25-40,Female,Novi Beograd,"Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/20/2020 23:56:19,15-24,Female,"Vračar, Rakovica, Stari grad","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,No,"No, not at all"
5/21/2020 9:51:15,25-40,Female,Obrenovac,"Always, almost every day",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,Yes,Yes,"Yes, while using the app"
5/21/2020 10:18:47,15-24,Female,Novi Beograd,"Always, almost every day",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/21/2020 10:24:02,15-24,Female,"Čukarica, Palilula, Savski Venac, Stari grad","Often, a couple of times per week",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/21/2020 11:05:45,15-24,Female,Zvezdara,Not at all,Not at all,Not at all,"Consumption, Consumption, Consumption",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/22/2020 0:31:34,15-24,Female,"Vračar, Novi Beograd, Palilula, Stari grad","Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/22/2020 0:53:32,41-64,Female,"Vračar, Rakovica, Zvezdara","Always, almost every day",More frequently,Up to 15 minutes,Sitting and relaxing,With children,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/22/2020 10:34:15,15-24,Male,Čukarica,"Often, a couple of times per week",Not at all,Not at all,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,No,No,"No, not at all"
